 (Half Day),（半天）
Please select prefix first,请先选择前缀
Please select the document type first,请先选择文档类型
Please select weekly off day,请选择每周休息日
Please select {0},请选择{0}
Please select {0} first,请先选择{0}
Please set Dropbox access keys in your site config,请在您的网站配置设置Dropbox的访问密钥
Please set Google Drive access keys in {0},请在{0}中设置谷歌驱动器的访问密钥
Please set default Cash or Bank account in Mode of Payment {0},请在付款方式{0}中设置默认的现金或银行账户
Please set default value {0} in Company {0},请设置公司{0}的默认值{0}
Please set {0},请设置{0}
Please setup Employee Naming System in Human Resource > HR Settings,请在人力资源 -> 人力资源设置中设置员工命名系统
Please setup numbering series for Attendance via Setup > Numbering Series,通过设置 -> 数字序号中设置考勤的数字序号
Please setup your chart of accounts before you start Accounting Entries,请在会计分录前设置您的会计科目表
Please specify,请注明
Please specify Company,请注明公司
Please specify Company to proceed,请注明公司来进行
Please specify Default Currency in Company Master and Global Defaults,请在公司主数据及全局默认中指定默认货币
Please specify a,请指定一个
Please specify a valid 'From Case No.',Please specify a valid 'From Case No'
Please specify a valid Row ID for {0} in row {1},在第{1}行中为{0}请指定一个有效的行ID
Please specify either Quantity or Valuation Rate or both,请指定无论是数量或估价率或两者都指定
Please submit to update Leave Balance.,请提交并跟新休假余量
Plot,Plot
Plot By,Plot By
Point of Sale,POS
Point-of-Sale Setting,POS设置
Post Graduate,研究生
Postal,邮政
Postal Expenses,邮政费用
Posting Date,发布日期
Posting Time,发布时间
Posting timestamp must be after {0},发布时间戳必须在{0}之后
Potential opportunities for selling.,潜在的销售机会
Preferred Billing Address,首选帐单地址
Preferred Shipping Address,首选送货地址
Prefix,前缀
Present,呈现
Prevdoc DocType,Prevdoc DocType
Prevdoc Doctype,Prevdoc Doctyp
Preview,预览
Previous,之前
Previous Work Experience,以前的工作经验
Price,价格
Price / Discount,价格/折扣
Price List,价格表
Price List Currency,价格表货币
Price List Currency not selected,价格表货币没有选择
Price List Exchange Rate,价格表汇率
Price List Name,价格表名称
Price List Rate,价格表费率
Price List Rate (Company Currency),价格表费率（公司货币）
Price List master.,价格表主数据
Price List must be applicable for Buying or Selling,价格表必须适用于购买或者销售
Price List not selected,没有选择价格列表
Price List {0} is disabled,价格表{0}被禁用
Price or Discount,价格或折扣
Pricing Rule,定价规则
Pricing Rule For Discount,折扣定价规则
Pricing Rule For Price,价格定价规则
Print Format Style,打印格式样式
Print Heading,打印标题
Print Without Amount,打印(没有数量)
Print and Stationary,印刷和文具
Printing and Branding,印刷及品牌
Priority,优先级
Private Equity,私人股本
Privilege Leave,特权休假
Probation,试用期
Process Payroll,处理工资
Produced,已生产
Produced Quantity,生产的产品数量
Product Enquiry,产品查询
Production,生产
Production Order,生产订单
Production Order status is {0},生产订单状态为{0}
Production Order {0} must be cancelled before cancelling this Sales Order,这个销售订单被取消之前生产订单{0}必须取消
Production Order {0} must be submitted,生产订单{0}必须是已提交状态
Production Orders,生产订单
Production Orders in Progress,生产进行中的订单
Production Plan Item,生产计划相关的商品
Production Plan Items,生产计划相关的商品
Production Plan Sales Order,生产计划相关的销售订单
Production Plan Sales Orders,生产计划相关的销售订单
Production Planning Tool,生产规划工具
Products,产品
"Products will be sorted by weight-age in default searches. More the weight-age, higher the product will appear in the list.",默认的搜索排序是产品将按照重量进行排序;越重越排在前面
Profit and Loss,损益
Project,项目
Project Costing,项目成本核算
Project Details,项目详情
Project Manager,项目经理
Project Milestone,项目里程碑
Project Milestones,项目里程碑
Project Name,项目名称
Project Start Date,项目开始日期
Project Type,项目类型
Project Value,项目价值
Project activity / task.,项目活动/任务
Project master.,项目主数据
Project will get saved and will be searchable with project name given,项目将得到保存并可通过项目名称进行搜索
Project wise Stock Tracking,项目层面库存追踪
Project-wise data is not available for Quotation,报价相关的项目数据不可用
Projected,预计
Projected Qty,预计数量
Projects,项目
Projects & System,工程及系统
Prompt for Email on Submission of,提交操作弹出邮件提醒
Proposal Writing,建议书编写
Provide email id registered in company,提供在公司注册电子邮件ID
Public,公共的
Publishing,出版
Pull sales orders (pending to deliver) based on the above criteria,基于上述条件获取销售订单(未交付)
Purchase,采购
Purchase / Manufacture Details,采购/制造详情
Purchase Analytics,采购分析
Purchase Common,Purchase Common
Purchase Details,采购详情
Purchase Discounts,采购折扣
Purchase In Transit,在运输途中的采购
Purchase Invoice,采购发票
Purchase Invoice Advance,Purchase Invoice Advance
Purchase Invoice Advances,Purchase Invoice Advances
Purchase Invoice Item,采购发票的商品
Purchase Invoice Trends,采购发票趋势
Purchase Invoice {0} is already submitted,采购发票{0}已经提交
Purchase Order,采购订单
Purchase Order Date,采购订单日期
Purchase Order Item,采购订单商品
Purchase Order Item No,采购订单商品编号
Purchase Order Item Supplied,采购订单
Purchase Order Items,采购订单商品
Purchase Order Items Supplied,Purchase Order Items Supplied
Purchase Order Items To Be Billed,待付款的采购订单
Purchase Order Items To Be Received,待接收的采购订单
Purchase Order Message,采购订单信息
Purchase Order Required,需要采购订单
Purchase Order Trends,采购订单趋势
Purchase Order number required for Item {0},商品{0}需要采购订单号
Purchase Order {0} is 'Stopped',采购订单{0}状态为'已停止'
Purchase Order {0} is not submitted,采购订单{0}状态为未提交
Purchase Orders given to Suppliers.,给供应商的采购订单
Purchase Receipt,采购入库单
Purchase Receipt Item,采购入库商品
Purchase Receipt Item Supplied,Purchase Receipt Item Supplied
Purchase Receipt Item Supplieds,Purchase Receipt Item Supplieds
Purchase Receipt Items,采购入库商品
Purchase Receipt Message,采购入库单信息
Purchase Receipt No,采购入库单编号
Purchase Receipt Required,需要采购入库单
Purchase Receipt Trends,采购入库单趋势
Purchase Receipt number required for Item {0},商品{0}需要采购入库单编号
Purchase Receipt {0} is not submitted,采购入库单{0}状态为未提交
Purchase Register,登记购买
Purchase Return,采购退货
Purchase Returned,Purchase Returned
Purchase Taxes and Charges,购置税和费
Purchase Taxes and Charges Master,购置税及收费主数据
Purchse Order number required for Item {0},商品{0}需要采购订单号
Purpose,目的
Purpose must be one of {0},目的必须是{0}中的一个
QA Inspection,QA Inspection
Qty,数量
Qty Consumed Per Unit,Qty Consumed Per Unit
Qty To Manufacture,制造数量
Qty as per Stock UOM,Qty as per Stock UOM
Qty to Deliver,交付数量
Qty to Order,订单数量
Qty to Receive,接收数量
Qty to Transfer,转移数量
Qualification,资格
Quality,质量
Quality Inspection,质检
Quality Inspection Parameters,质检参数
Quality Inspection Reading,Quality Inspection Reading
Quality Inspection Readings,Quality Inspection Readings
Quality Inspection required for Item {0},产品{0}必须质检
Quality Management,质量管理
Quantity,数量
Quantity Requested for Purchase,采购数量需求
Quantity and Rate,Quantity and Rate
Quantity and Warehouse,数量和仓库
Quantity cannot be a fraction in row {0},行{0}中的数量不能是小数
Quantity for Item {0} must be less than {1},产品{0}的数量必须小于{1}
Quantity in row {0} ({1}) must be same as manufactured quantity {2},Quantity in row {0} ({1}) must be same as manufactured quantity {2}
Quantity of item obtained after manufacturing / repacking from given quantities of raw materials,Quantity of item obtained after manufacturing / repacking from given quantities of raw materials
Quantity required for Item {0} in row {1},行{0}中的产品{1}数量是必须的
Quarter,季度
Quarterly,按季度
Quick Help,快速帮助
Quotation,报价单
Quotation Date,报价日期
Quotation Item,产品报价
Quotation Items,报价产品
Quotation Lost Reason,报价遗失原因
Quotation Message,报价信息
Quotation To,Quotation To
Quotation Trends,报价趋势
Quotation {0} is cancelled,报价{0}将被取消
Quotation {0} not of type {1},Quotation {0} not of type {1}
Quotations received from Suppliers.,从供应商收到的报价。
Quotes to Leads or Customers.,报价给领导或客户。
Raise Material Request when stock reaches re-order level,Raise Material Request when stock reaches re-order level
Raised By,Raised By
Raised By (Email),Raised By (Email)
Random,随机
Range,范围
Rate,Rate
Rate,Rate
Rate (%),Rate (%)
Rate (Company Currency),Rate (Company Currency)
Rate Of Materials Based On,Rate Of Materials Based On
Rate and Amount,Rate and Amount
Rate at which Customer Currency is converted to customer's base currency,Rate at which Customer Currency is converted to customer's base currency
Rate at which Price list currency is converted to company's base currency,Rate at which Price list currency is converted to company's base currency
Rate at which Price list currency is converted to customer's base currency,Rate at which Price list currency is converted to customer's base currency
Rate at which customer's currency is converted to company's base currency,Rate at which customer's currency is converted to company's base currency
Rate at which supplier's currency is converted to company's base currency,Rate at which supplier's currency is converted to company's base currency
Rate at which this tax is applied,Rate at which this tax is applied
Raw Material,原料
Raw Material Item Code,原料产品编号
Raw Materials Supplied,原料供应
Raw Materials Supplied Cost,原料供应成本
Raw material cannot be same as main Item,原料不能跟主产品一样
Re-Order Level,再订购级别
Re-Order Qty,再订购数量
Re-order,再订购
Re-order Level,再订购级别
Re-order Qty,再订购数量
Read,阅读
Reading 1,阅读1
Reading 10,阅读10
Reading 2,阅读2
Reading 3,阅读3
Reading 4,阅读4
Reading 5,阅读5
Reading 6,阅读6
Reading 7,阅读7
Reading 8,阅读8
Reading 9,阅读9
Real Estate,不动产
Reason,原因
Reason for Leaving,离职原因
Reason for Resignation,辞职原因
Reason for losing,丢失原因
Recd Quantity,Recd Quantity
Receivable,应收款项
Receivable / Payable account will be identified based on the field Master Type,Receivable / Payable account will be identified based on the field Master Type
Receivables,应收款项
Receivables / Payables,应收/应付账款
Receivables Group,应收账款组
Received Date,收到日期
Received Items To Be Billed,Received Items To Be Billed
Received Qty,已收到数量
Received and Accepted,已收到并接受
Receiver List,接收者列表
Receiver List is empty. Please create Receiver List,接收者列表为空，请创建接收者列表。
Receiver Parameter,接收者参数
Recipients,收件人
Reconcile,Reconcile
Reconciliation Data,Reconciliation Data
Reconciliation HTML,Reconciliation HTML
Reconciliation JSON,Reconciliation JSON
Record item movement.,产品移动记录。
Recurring Id,Recurring Id
Recurring Invoice,Recurring Invoice
Recurring Type,Recurring Type
Reduce Deduction for Leave Without Pay (LWP),Reduce Deduction for Leave Without Pay (LWP)
Reduce Earning for Leave Without Pay (LWP),Reduce Earning for Leave Without Pay (LWP)
Ref Code,参考代码
Ref SQ,Ref SQ
Reference,参考
Reference #{0} dated {1},Reference #{0} dated {1}
Reference Date,参考日期
Reference Name,参考名称
Reference No & Reference Date is required for {0},Reference No & Reference Date is required for {0}
Reference No is mandatory if you entered Reference Date,参考编号是强制性的，如果你输入了参考日期
Reference Number,参考号码
Reference Row #,参考行＃
Refresh,刷新
Registration Details,登记详情
Registration Info,登记信息
Rejected,拒绝
Rejected Quantity,拒绝数量
Rejected Serial No,拒绝序列号
Rejected Warehouse,拒绝仓库
Rejected Warehouse is mandatory against regected item,Rejected Warehouse is mandatory against regected item
Relation,关系
Relieving Date,解除日期
Relieving Date must be greater than Date of Joining,解除日期必须大于加入的日期
Remark,备注
Remarks,备注
Rename,重命名
Rename Log,重命名日志
Rename Tool,重命名工具
Rent Cost,租金成本
Rent per hour,每小时租金
Rented,租用
Repeat on Day of Month,Repeat on Day of Month
Replace,更换
Replace Item / BOM in all BOMs,Replace Item / BOM in all BOMs
Replied,回答
Report Date,报告日期
Report Type,报告类型
Report Type is mandatory,报告类型是强制性的
Reports to,报告给
Reqd By Date,Reqd By Date
Request Type,请求类型
Request for Information,需要信息
Request for purchase.,需要采购。
Requested,要求
Requested For,Requested For
Requested Items To Be Ordered,Requested Items To Be Ordered
Requested Items To Be Transferred,Requested Items To Be Transferred
Requested Qty,要求数量
"Requested Qty: Quantity requested for purchase, but not ordered.",数量要求：采购要求数量，但没有下单。
Requests for items.,产品要求
Required By,必选
Required Date,所需时间
Required Qty,所需数量
Required only for sample item.,Required only for sample item.
Required raw materials issued to the supplier for producing a sub - contracted item.,Required raw materials issued to the supplier for producing a sub - contracted item.
Research,研究
Research & Development,研究与发展
Researcher,研究员
Reseller,经销商
Reserved,保留的
Reserved Qty,保留数量
"Reserved Qty: Quantity ordered for sale, but not delivered.",保留数量：销售订购数量，但未交付。
Reserved Quantity,保留数量
Reserved Warehouse,保留仓库
Reserved Warehouse in Sales Order / Finished Goods Warehouse,Reserved Warehouse in Sales Order / Finished Goods Warehouse
Reserved Warehouse is missing in Sales Order,Reserved Warehouse is missing in Sales Order
Reserved Warehouse required for stock Item {0} in row {1},在行{1}中，必须为存储产品{0}保留仓库
Reserved warehouse required for stock item {0},必须为存储产品{0}保留仓库
Reserves and Surplus,储备及盈余
Reset Filters,重设过滤器
Resignation Letter Date,辞职信日期
Resolution,决议
Resolution Date,决议日期
Resolution Details,决议详情
Resolved By,决议人：
Rest Of The World,世界其余地区
Retail,零售
Retail & Wholesale,零售及批发
Retailer,零售商
Review Date,复审日期
Rgt,RGT
Role Allowed to edit frozen stock,Role Allowed to edit frozen stock
Role that is allowed to submit transactions that exceed credit limits set.,Role that is allowed to submit transactions that exceed credit limits set.
Root Type,根类型
Root Type is mandatory,根类型是强制性的
Root account can not be deleted,根帐号不能被删除
Root cannot be edited.,根不能被编辑。
Root cannot have a parent cost center,根不能有一个父成本中心
Rounded Off,四舍五入
Rounded Total,Rounded Total
Rounded Total (Company Currency),Rounded Total (Company Currency)
Row # ,行 #
Row # {0}: , 行 # {0}
"Row {0}: Account does not match with \ Purchase Invoice Credit To account","Row {0}: Account does not match with \ Purchase Invoice Credit To account"
"Row {0}: Account does not match with \ Sales Invoice Debit To account","Row {0}: Account does not match with \ Sales Invoice Debit To account"
Row {0}: Credit entry can not be linked with a Purchase Invoice,Row {0}: Credit entry can not be linked with a Purchase Invoice
Row {0}: Debit entry can not be linked with a Sales Invoice,Row {0}: Debit entry can not be linked with a Sales Invoice
"Row {0}: To set {1} periodicity, difference between from and to date \ must be greater than or equal to {2}","Row {0}: To set {1} periodicity, difference between from and to date \ must be greater than or equal to {2}"
Row {0}:Start Date must be before End Date,行{0} ：开始日期必须在结束日期之前
Rules for adding shipping costs.,增加运输成本的规则。
Rules for applying pricing and discount.,定价和折扣的规则。
Rules to calculate shipping amount for a sale,计算一次销售所需运费的规则
S.O. No.,S.O. No.
SMS Center,短信中心
SMS Control,短信控制
SMS Gateway URL,短信网关URL
SMS Log,短信日志
SMS Parameter,短信参数
SMS Sender Name,短信发送者名称
SMS Settings,短信设置
SO Date,SO Date
SO Pending Qty,SO Pending Qty
SO Qty,SO Qty
Salary,薪水
Salary Information,薪资信息
Salary Manager,薪资管理
Salary Mode,薪酬模式
Salary Slip,工资单
Salary Slip Deduction,Salary Slip Deduction
Salary Slip Earning,Salary Slip Earning
Salary Slip of employee {0} already created for this month,员工{0}本月的工资单已创建
Salary Structure,薪酬结构
Salary Structure Deduction,Salary Structure Deduction
Salary Structure Earning,薪酬收入结构
Salary Structure Earnings,薪酬收入结构
Salary breakup based on Earning and Deduction.,Salary breakup based on Earning and Deduction.
Salary components.,工资组成部分。
Salary template master.,主要的薪资模板。
Sales,销售
Sales Analytics,销售分析
Sales BOM,销售BOM
Sales BOM Help,销售BOM帮助
Sales BOM Item,销售BOM产品
Sales BOM Items,销售BOM产品
Sales Browser,Sales Browser
Sales Details,销售详情
Sales Discounts,销售折扣
Sales Email Settings,销售电子邮件设置
Sales Expenses,销售费用
Sales Extras,额外附加费用
Sales Funnel,销售漏斗
Sales Invoice,销售发票
Sales Invoice Advance,Sales Invoice Advance
Sales Invoice Item,销售发票项
Sales Invoice Items,销售发票所有项
Sales Invoice Message,销售发票信息
Sales Invoice No,销售发票号码
Sales Invoice Trends,销售发票趋势
Sales Invoice {0} has already been submitted,销售发票{0}已提交
Sales Invoice {0} must be cancelled before cancelling this Sales Order,在取消该订单之前，必须先取消销售发票{0}
Sales Order,销售订单
Sales Order Date,销售订单日期
Sales Order Item,销售订单项
Sales Order Items,销售订单所有项
Sales Order Message,销售订单信息
Sales Order No,销售订单号
Sales Order Required,销售订单必须的
Sales Order Trends,销售订单趋势
Sales Order required for Item {0},产品{0}的销售订单是必须的
Sales Order {0} is not submitted,销售订单{0}未提交
Sales Order {0} is not valid,销售订单{0}无效
Sales Order {0} is stopped,销售订单{0}被停止
Sales Partner,销售伙伴
Sales Partner Name,销售伙伴名称
Sales Partner Target,销售伙伴目标
Sales Partners Commission,销售伙伴佣金
Sales Person,销售人员
Sales Person Name,销售人员的姓名
Sales Person Target Variance Item Group-Wise,Sales Person Target Variance Item Group-Wise
Sales Person Targets,销售人员目标
Sales Person-wise Transaction Summary,Sales Person-wise Transaction Summary
Sales Register,销售登记
Sales Return,Sales Returned
Sales Returned,Sales Returned
Sales Taxes and Charges,销售税和费用
Sales Taxes and Charges Master,销售税金及收费硕士
Sales Team,销售团队
Sales Team Details,销售团队详细
Sales Team1,销售团队1
Sales and Purchase,销售和采购
Sales campaigns.,销售活动。
Salutation,称呼
Sample Size,样本大小
Sanctioned Amount,Sanctioned Amount
Saturday,星期六
Schedule,时间表
Schedule Date,计划日期
Schedule Details,计划详细信息
Scheduled,预定
Scheduled Date,指定日期
Scheduled to send to {0},将发送到{0}
Scheduled to send to {0} recipients,将发送到收件人{0}
Scheduler Failed Events,Scheduler Failed Events
School/University,学校/大学
Score (0-5),得分（0-5）
Score Earned,Score Earned
Score must be less than or equal to 5,分数必须小于或等于5
Scrap %,Scrap %
Seasonality for setting budgets.,季度设定预算。
Secretary,秘书
Secured Loans,抵押贷款
Securities & Commodity Exchanges,证券及商品交易市场
Securities and Deposits,证券及存款
"See ""Rate Of Materials Based On"" in Costing Section","See ""Rate Of Materials Based On"" in Costing Section"
"Select ""Yes"" for sub - contracting items","Select ""Yes"" for sub - contracting items"
"Select ""Yes"" if this item is used for some internal purpose in your company.",选择“Yes”如果该产品被用于一些公司内部用途。
"Select ""Yes"" if this item represents some work like training, designing, consulting etc.","Select ""Yes"" if this item represents some work like training, designing, consulting etc."
"Select ""Yes"" if you are maintaining stock of this item in your Inventory.",选择“是”，如果您维护该产品的存货在你的库存。
"Select ""Yes"" if you supply raw materials to your supplier to manufacture this item.",选择“是”，如果您提供原料给供应商来制造该产品。
Select Budget Distribution to unevenly distribute targets across months.,Select Budget Distribution to unevenly distribute targets across months.
"Select Budget Distribution, if you want to track based on seasonality.",选择预算分配，如果你想要基于季度来跟踪。
Select DocType,选择文档类型
Select Items,选择产品
Select Purchase Receipts,选择采购入库单
Select Sales Orders,选择销售订单
Select Sales Orders from which you want to create Production Orders.,Select Sales Orders from which you want to create Production Orders.
Select Time Logs and Submit to create a new Sales Invoice.,选择时间日志和提交创建一个新的销售发票。
Select Transaction,选择交易
Select Your Language,选择您的语言
Select account head of the bank where cheque was deposited.,选取支票存入的银行账户。
Select company name first.,先选择公司名称。
Select template from which you want to get the Goals,从您想要得到的目标选择模板
Select the Employee for whom you are creating the Appraisal.,选择要为其创建考核的员工。
Select the period when the invoice will be generated automatically,Select the period when the invoice will be generated automatically
Select the relevant company name if you have multiple companies,选择相关的公司名称如果您有多个公司
Select the relevant company name if you have multiple companies.,选择相关的公司名称如果您有多个公司。
Select who you want to send this newsletter to,选择该时事通讯要发送给谁
Select your home country and check the timezone and currency.,选择您的国家并检查时区和货币。
"Selecting ""Yes"" will allow this item to appear in Purchase Order , Purchase Receipt.",选择“是”将允许这个项目出现在采购订单，采购入库单。
"Selecting ""Yes"" will allow this item to figure in Sales Order, Delivery Note","Selecting ""Yes"" will allow this item to figure in Sales Order, Delivery Note"
"Selecting ""Yes"" will allow you to create Bill of Material showing raw material and operational costs incurred to manufacture this item.","Selecting ""Yes"" will allow you to create Bill of Material showing raw material and operational costs incurred to manufacture this item."
"Selecting ""Yes"" will allow you to make a Production Order for this item.",选择“是”将允许你为该产品创建一个生产订单。
"Selecting ""Yes"" will give a unique identity to each entity of this item which can be viewed in the Serial No master.","Selecting ""Yes"" will give a unique identity to each entity of this item which can be viewed in the Serial No master."
Selling,销售
Selling Settings,销售设置
Send,发送
Send Autoreply,发送自动回复
Send Email,发送电​​子邮件
Send From,Send From
Send Notifications To,发送通知到
Send Now,立即发送
Send SMS,发送短信
Send To,发送到
Send To Type,Send To Type
Send mass SMS to your contacts,发送群发短信到您的联系人
Send to this list,发送到这个列表
Sender Name,发件人名称
Sent On,发送
Separate production order will be created for each finished good item.,Separate production order will be created for each finished good item.
Serial No,序列号
Serial No / Batch,序列号/批次
Serial No Details,序列号详情
Serial No Service Contract Expiry,序列号服务合同到​​期
Serial No Status,序列号状态
Serial No Warranty Expiry,序列号保修到期
Serial No is mandatory for Item {0},产品{0}的序列号是强制性的
Serial No {0} created,序列号{0}已创建
Serial No {0} does not belong to Delivery Note {1},序列号{0}不属于送货单{1}
Serial No {0} does not belong to Item {1},序列号{0}不属于产品{1}
Serial No {0} does not belong to Warehouse {1},序列号{0}不属于仓库{1}
Serial No {0} does not exist,序列号{0}不存在
Serial No {0} has already been received,序列号{0}已收到
Serial No {0} is under maintenance contract upto {1},Serial No {0} is under maintenance contract upto {1}
Serial No {0} is under warranty upto {1},Serial No {0} is under warranty upto {1}
Serial No {0} not in stock,序列号{0}不在库存中
Serial No {0} quantity {1} cannot be a fraction,序列号{0}数量{1}不能是小数
Serial No {0} status must be 'Available' to Deliver,序列号{0}的状态必须为“可用的”
Serial Nos Required for Serialized Item {0},已序列化物品{0}的序列号是必须的
Serial Number Series,Serial Number Series
Serial number {0} entered more than once,序列号{0}已存在
"Serialized Item {0} cannot be updated \ using Stock Reconciliation",已序列化的物品{0}无法更新 \ 使用库存对账
Series,Series
Series List for this Transaction,Series List for this Transaction
Series Updated,Series Updated
Series Updated Successfully,Series Updated Successfully
Series is mandatory,Series is mandatory
Series {0} already used in {1},Series {0} already used in {1}
Service,服务
Service Address,服务地址
Services,服务
Set,设置
"Set Default Values like Company, Currency, Current Fiscal Year, etc.",设置默认值，像公司、货币、当前财年等。
Set Item Group-wise budgets on this Territory. You can also include seasonality by setting the Distribution.,Set Item Group-wise budgets on this Territory. You can also include seasonality by setting the Distribution.
Set as Default,设置为默认
Set as Lost,设置为丢失
Set prefix for numbering series on your transactions,为你的交易编号序列设置的前缀
Set targets Item Group-wise for this Sales Person.,Set targets Item Group-wise for this Sales Person.
Setting Account Type helps in selecting this Account in transactions.,设置帐户类型，在交易中可选择对应帐户。
Setting up...,设置...
Settings,设置
Settings for HR Module,设置
"Settings to extract Job Applicants from a mailbox e.g. ""jobs@example.com""",设置从邮箱中提取求职者，例如“jobs@example.com”
Setup,设置
Setup Already Complete!!,安装已经完成！
Setup Complete,安装完成
Setup Series,设置系列
Setup Wizard,设置向导
Setup incoming server for jobs email id. (e.g. jobs@example.com),Setup incoming server for jobs email id. (e.g. jobs@example.com)
Setup incoming server for sales email id. (e.g. sales@example.com),Setup incoming server for sales email id. (e.g. sales@example.com)
Setup incoming server for support email id. (e.g. support@example.com),Setup incoming server for support email id. (e.g. support@example.com)
Share,共享
Share With,分享
Shareholders Funds,股东资金
Shipments to customers.,发货给客户。
Shipping,运输
Shipping Account,运输账户
Shipping Address,运输地址
Shipping Amount,运费
Shipping Rule,运输规则
Shipping Rule Condition,运输规则条件
Shipping Rule Conditions,运输规则条件
Shipping Rule Label,运输规则标签
Shop,店
Shopping Cart,购物车
Short biography for website and other publications.,Short biography for website and other publications.
"Show ""In Stock"" or ""Not in Stock"" based on stock available in this warehouse.",基于该仓库的有效库存显示“有货”或“无货”
"Show / Hide features like Serial Nos, POS etc.","Show / Hide features like Serial Nos, POS etc."
Show In Website,显示在网站
Show a slideshow at the top of the page,显示幻灯片在页面顶部
Show in Website,显示在网站
Show this slideshow at the top of the page,显示该幻灯片在页面顶部
Sick Leave,病假
Signature,签名
Signature to be appended at the end of every email,签名在每封电子邮件的末尾追加
Single,单一
Single unit of an Item.,Single unit of an Item.
Sit tight while your system is being setup. This may take a few moments.,系统正在安装。这可能需要一些时间。
Slideshow,连续播放
Soap & Detergent,肥皂和洗涤剂
Software,软件
Software Developer,软件开发人员
"Sorry, Serial Nos cannot be merged",对不起，序列号无法合并
"Sorry, companies cannot be merged",对不起，企业不能合并
Source,源
Source File,源文件
Source Warehouse,源代码仓库
Source and target warehouse cannot be same for row {0},行{0}中的源和目标仓库不能相同
Source of Funds (Liabilities),资金来源（负债）
Source warehouse is mandatory for row {0},Source warehouse is mandatory for row {0}
Spartan,Spartan
"Special Characters except ""-"" and ""/"" not allowed in naming series",除了特殊字符“ - ”和“/”未命名中不允许系列
Specification Details,规格详细
Specifications,产品规格
"Specify a list of Territories, for which, this Price List is valid",指定的区域列表，其中，价格列表是有效的
"Specify a list of Territories, for which, this Shipping Rule is valid",指定的区域列表，其中，运送规则是有效的
"Specify a list of Territories, for which, this Taxes Master is valid","Specify a list of Territories, for which, this Taxes Master is valid"
"Specify the operations, operating cost and give a unique Operation no to your operations.","Specify the operations, operating cost and give a unique Operation no to your operations."
Split Delivery Note into packages.,提货单分割成包。
Sports,运动
Standard,标准
Standard Buying,标准采购
Standard Rate,标准价格
Standard Reports,标准报告
Standard Selling,标准销售
Standard contract terms for Sales or Purchase.,销售或采购的标准合同条款。
Start,开始
Start Date,开始日期
Start date of current invoice's period,当前发票的开始日期
Start date should be less than end date for Item {0},{0}的开始日期必须小于结束日期
State,State
Static Parameters,静态参数
Status,状态
Status must be one of {0},状态必须是{0}中的一个
Status of {0} {1} is now {2},Status of {0} {1} is now {2}
Status updated to {0},状态更新为{0}
Statutory info and other general information about your Supplier,关于供应商的法定信息和其它普通信息
Stay Updated,Stay Updated
Stock,库存
Stock Adjustment,库存调整
Stock Adjustment Account,库存调整账户
Stock Ageing,Stock Ageing
Stock Analytics,库存分析
Stock Assets,库存资产
Stock Balance,库存余额
Stock Entries already created for Production Order,生产订单已创建库存条目
Stock Entry,库存条目
Stock Entry Detail,库存条目细节
Stock Expenses,库存费用
Stock Frozen Upto,Stock Frozen Upto
Stock Ledger,库存分类帐
Stock Ledger Entry,库存分类帐条目
Stock Ledger entries balances updated,库存分类帐条目剩余更新
Stock Level,库存水平
Stock Liabilities,库存债务
Stock Projected Qty,Stock Projected Qty
Stock Queue (FIFO),库存队列（FIFO）
Stock Received But Not Billed,Stock Received But Not Billed
Stock Reconcilation Data,库存对账数据
Stock Reconcilation Template,库存对账模板
Stock Reconcilation,库存对账
"Stock Reconciliation can be used to update the stock on a particular date, usually as per physical inventory.","Stock Reconciliation can be used to update the stock on a particular date, usually as per physical inventory."
Stock Settings,库存设置
Stock UOM,库存计量单位
Stock UOM Replace Utility,库存计量单位替换工具
Stock UOM updatd for Item {0},更新产品{0}库存计量单位
Stock Uom,库存计量单位
Stock Value,库存值
Stock Value Difference,库存值差异
Stock balances updated,库存剩余更新
Stock cannot be updated against Delivery Note {0},Stock cannot be updated against Delivery Note {0}
Stock entries exist against warehouse {0} cannot re-assign or modify 'Master Name',Stock entries exist against warehouse {0} cannot re-assign or modify 'Master Name'
Stop,停止
Stop Birthday Reminders,停止生日提醒
Stop Material Request,停止材料要求
Stop users from making Leave Applications on following days.,停止用户在接下的时间申请请假。
Stop!,停止！
Stopped,停止
Stopped order cannot be cancelled. Unstop to cancel.,Stopped order cannot be cancelled. Unstop to cancel.
Stores,商店
Stub,存根
Sub Assemblies,子组件
"Sub-currency. For e.g. ""Cent""",子货币，比如“美分”
Subcontract,转包
Subject,主题
Submit Salary Slip,提交工资单
Submit all salary slips for the above selected criteria,根据以上选择条件提交所有工资单
Submit this Production Order for further processing.,提交此生产订单进行进一步的处理。
Submitted,提交
Subsidiary,附属的
Successful: ,成功：
Successfully allocated,成功分配
Suggestions,建议
Sunday,星期天
Supplier,供应商
Supplier (Payable) Account,供应商（应付）账户
Supplier (vendor) name as entered in supplier master,Supplier (vendor) name as entered in supplier master
Supplier Account,供应商帐户
Supplier Account Head,供应商户头
Supplier Address,供应商地址
Supplier Addresses and Contacts,供应商的地址和联系方式
Supplier Details,供应商详细信息
Supplier Intro,供应商介绍
Supplier Invoice Date,供应商发票日期
Supplier Invoice No,供应商发票号码
Supplier Name,供应商名称
Supplier Naming By,Supplier Naming By
Supplier Part Number,Supplier Part Number
Supplier Quotation,供应商报价
Supplier Quotation Item,供应商报价项
